name,dorsal,team,position,age,height,weight,nationality,appearances,substitute_sppearances,total_goals,assists,shots,shots_on_target,fouls_committed,fouls_suffered,yellow_cards,red_cards,ratio_goalshots,ratio_assists_appearances,ratio_total_goalss_appearances,ratio_total_fouls_committed_appearances,ratio_total_fouls_suffered_appearances,ratio_total_yellow_cards_appearances,ratio_total_red_cards_appearances
Alberto Rodríguez,2,alaves,D,23,"1,82",71.55,Spain,11,4,0,0,2,0,10,16,3,1,0.0,0.0,0.0,0.9090909090909091,1.4545454545454546,0.2727272727272727,0.09090909090909091
Rubén Duarte,3,alaves,D,25,"1,55",73.35000000000001,Spain,30,2,1,1,14,2,41,38,5,1,0.5,0.03333333333333333,0.03333333333333333,1.3666666666666667,1.2666666666666666,0.16666666666666666,0.03333333333333333
Rodrigo Ely,4,alaves,D,27,"1,88",82.35000000000001,Brazil,8,2,1,0,4,2,8,2,1,0,0.5,0.0,0.125,1.0,0.25,0.125,0.0
Víctor Laguardia,5,alaves,D,31,"1,85",78.3,Spain,32,2,0,1,8,3,25,12,4,1,0.0,0.03125,0.0,0.78125,0.375,0.125,0.03125
Martín Aguirregabiria,21,alaves,D,25,"1,55",67.5,Spain,26,10,0,1,2,0,23,23,1,0,0.0,0.038461538461538464,0.0,0.8846153846153846,0.8846153846153846,0.038461538461538464,0.0
Florian Lejeune,22,alaves,D,30,"1,88",87.3,France,33,0,1,1,23,5,33,16,10,0,0.2,0.030303030303030304,0.030303030303030304,1.0,0.48484848484848486,0.30303030303030304,0.0
Ximo Navarro,23,alaves,D,31,"1,79",73.35000000000001,Spain,30,3,1,1,14,4,32,34,6,0,0.25,0.03333333333333333,0.03333333333333333,1.0666666666666667,1.1333333333333333,0.2,0.0
Javier López,26,alaves,D,19,"1,82",0.0,Spain,9,8,0,0,1,1,3,3,1,1,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
Abdelkabir Abqar,36,alaves,D,22,"1,88",78.3,Morocco,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Hugo Pérez,38,alaves,D,18,"1,88",0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Stephane Paul Keller,39,alaves,D,19,0,0.0,Cameroon,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Vallribera,40,alaves,D,19,0,0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Rodrigo Battaglia,6,alaves,M,29,"1,88",77.4,Argentina,31,2,1,0,17,5,33,30,10,1,0.2,0.0,0.03225806451612903,1.064516129032258,0.967741935483871,0.3225806451612903,0.03225806451612903
Tomás Pina,8,alaves,M,33,"1,82",77.4,Spain,32,2,1,1,10,1,66,29,12,0,1.0,0.03125,0.03125,2.0625,0.90625,0.375,0.0
Édgar Méndez,16,alaves,M,30,"1,88",78.3,Spain,32,7,5,1,33,10,50,49,10,1,0.5,0.03125,0.15625,1.5625,1.53125,0.3125,0.03125
Iñigo Córdoba,17,alaves,M,24,"1,55",75.60000000000001,Spain,10,6,0,0,3,0,9,7,0,0,0.0,0.0,0.0,0.9,0.7,0.0,0.0
Burgui ,18,alaves,M,27,"1,82",73.35000000000001,Spain,1,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Manu García,19,alaves,M,35,"1,82",72.45,Spain,24,15,0,0,8,0,18,25,8,1,0.0,0.0,0.0,0.75,1.0416666666666667,0.3333333333333333,0.041666666666666664
Pere Pons,20,alaves,M,18,"1,55",68.4,Spain,21,10,2,0,8,4,15,17,1,0,0.5,0.0,0.09523809523809523,0.7142857142857143,0.8095238095238095,0.047619047619047616,0.0
Jota ,24,alaves,M,29,"1,55",68.4,Spain,23,5,0,2,16,2,18,4,3,1,0.0,0.08695652173913043,0.0,0.782608695652174,0.17391304347826086,0.13043478260869565,0.043478260869565216
Sergi García,27,alaves,M,22,0,0.0,Spain,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Blanco,28,alaves,M,21,0,0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Borja Sainz,29,alaves,M,20,"1,79",73.35000000000001,Spain,21,19,1,0,8,4,13,7,1,0,0.25,0.0,0.047619047619047616,0.6190476190476191,0.3333333333333333,0.047619047619047616,0.0
Abdallahi Mahmoud,30,alaves,M,21,0,0.0,Mauritania,2,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
